DateTime ,jck_mm ,jck_mx ,jck_mn ,jck_sp ,jck_pp,Notes
2023-03-27,15.05,28.3,3.5,14.58,0.02,
2023-03-28,13.39,33.3,-5.3,14.6,0,
2023-03-29,26.66,42.6,10.9,14.58,0,
2023-03-30,28.11,32.3,21.2,14.7,0.11,
2023-03-31,24.38,31.6,17.6,14.83,0.11,
2023-04-01,27.82,31.4,25.4,15.27,0.44,
2023-04-02,23.4,27.4,19.1,15.61,0.15,
2023-04-03,20.09,29.6,10.4,15.56,0,
2023-04-04,20.88,29.1,12.3,15.42,0.01,
2023-04-05,13.39,29,-5.2,15.46,0.01,
2023-04-06,24.37,35.7,16.4,15.64,0.03,
2023-04-07,22.6,46.2,-0.5,15.58,0,
2023-04-08,34.52,43.3,26.9,15.52,0,
2023-04-09,36.07,50,25.8,15.7,0,
2023-04-10,37.63,58.7,20.4,15.05,0,
2023-04-11,41.69,59.5,23.4,14.5,0,
2023-04-12,42.16,54.9,33.4,13.55,0.14,
2023-04-13,26.85,34.6,11.6,13.72,0.51,
2023-04-14,20.07,32.3,6.8,13.84,0,
2023-04-15,22.7,41.3,5.8,14.3,0,
2023-04-16,31.4,52,10.9,13.71,0,
2023-04-17,39.18,52.6,27,12.35,0.07,
2023-04-18,30,37.6,21.3,12.28,0.11,
2023-04-19,22.63,28.9,18.2,12.38,0.04,
2023-04-20,22.11,32.8,6.9,12.42,0.01,
2023-04-21,27.09,36.7,20.9,12.51,0.09,
2023-04-22,26.01,38,12,12.47,0,
2023-04-23,28.75,46.8,14.9,11.88,0,
2023-04-24,31.1,41.9,23.2,11.77,0.1,
2023-04-25,38.74,51.3,30.9,10.89,0.02,
2023-04-26,37.35,51.5,25.3,10.27,0,
2023-04-27,36.24,47.2,27,10.45,0,
2023-04-28,34.55,55.5,17.6,9.37,0,
2023-04-29,40.12,62.1,23,8.46,0,
2023-04-30,42.21,66.8,24.6,7.58,0,
2023-05-01,44.43,71.2,25.2,6.51,0,
2023-05-02,49.14,66.5,34.1,5.54,0,
2023-05-03,44.82,68.8,28.4,4.6,0,
2023-05-04,40.63,57.5,27.1,3.81,0.01,
